Stationsnummer: 2135
Stationsname: Bern, Schönau
DBLH-Nr: 00985
Gewässer: Aare
Exportperiode: 2024-01-01 - 2024-12-31
Parameter: Pegel
Parametereinheit: m ü.M.
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-06-23 00:00:00;;503.331;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-06-24 00:00:00;;503.199;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-06-25 00:00:00;;503.126;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-06-26 00:00:00;;503.181;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-06-27 00:00:00;;503.174;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-06-28 00:00:00;;503.132;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-06-29 00:00:00;;503.107;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-06-30 00:00:00;;503.109;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-07-01 00:00:00;;503.139;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-07-02 00:00:00;;503.166;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-07-03 00:00:00;;503.173;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-07-04 00:00:00;;503.206;Freigegeben, geprüfte Daten
