Index,station_id,station_name,iso_country_code,latitude,longitude,elevation
GME00129910,GME00129910,BLANKENRATH,DE,50.0367,7.3056,417.0
GME00129958,GME00129958,KR.ANSBACH WEIDENBACH,DE,49.1975,10.65,425.0
GME00129970,GME00129970,WEIGENHEIM-REUSCH,DE,49.5908,10.26,309.0
GME00130054,GME00130054,WEISKIRCHEN/SAAR,DE,49.555,6.8125,380.0
GME00130078,GME00130078,WEISSACH,DE,48.8467,8.9089,455.0
GME00130126,GME00130126,WEISWEIL-WALDECKHOF,DE,48.1892,7.6983,173.0
GME00130198,GME00130198,WERTHEIM-EICHEL,DE,49.7678,9.5439,140.0
GME00130234,GME00130234,WIELENBACH (DEMOLLSTR.),DE,47.8833,11.1589,550.0
GME00130306,GME00130306,BAD-CALMBACH WILDBAD,DE,48.7856,8.5769,385.0
GME00130330,GME00130330,NEUBULACH-OBERHAUGSTETT,DE,48.6525,8.6808,570.0
GME00130378,GME00130378,REMS-MURR-KREIS WINTERBACH,DE,48.8042,9.4706,240.0
GME00130462,GME00130462,WORNITZ-BOTTENWEILER,DE,49.2189,10.2306,464.0
GME00130486,GME00130486,WOLFACH,DE,48.2958,8.24,291.0
GME00130522,GME00130522,WOLFSTEIN/PFALZ,DE,49.5819,7.6242,200.0
GME00130534,GME00130534,WORMS,DE,49.6056,8.3667,88.0
GME00130618,GME00130618,WUTOSCHINGEN-OFTERINGEN,DE,47.6789,8.3806,398.0
GME00130678,GME00130678,BOBLINGEN,DE,48.6767,8.9742,445.0
GME00130738,GME00130738,ZWIESEL,DE,49.0292,13.2403,615.0
GME00130750,GME00130750,ZWIESELBERG,DE,49.0017,13.2153,615.0
GME00130846,GME00130846,MAINBURG,DE,48.6503,11.7783,431.0
GME00130918,GME00130918,REIT IM WINKL,DE,47.6758,12.4708,685.0
GME00131002,GME00131002,BOOS,DE,48.0744,10.2014,592.0
GME00131134,GME00131134,WEIDENBACH-WEIHERSCHNEIDBACH,DE,49.2256,10.6094,455.0
GME00131194,GME00131194,MALLERSDORF-PFAFFENBERG,DE,48.7767,12.1756,404.0
GME00131290,GME00131290,SAARBRUCKEN-BURBACH,DE,49.2417,6.935,190.0
GME00131302,GME00131302,DOLLNSTEIN-BREITENFURT,DE,48.8778,11.1056,394.0
GME00131314,GME00131314,FRIEDRICHSHAFEN-UNTERRADERACH,DE,47.6853,9.4417,459.0
GME00131326,GME00131326,GROSSERLACH-MANNENWEILER,DE,49.0217,9.6042,523.0
GME00131338,GME00131338,INGELFINGEN-STACHENHAUSEN,DE,49.3333,9.705,385.0
GME00131350,GME00131350,SCHWABISCH GMUND-WEILER,DE,48.7706,9.875,413.0
GME00131362,GME00131362,SINGEN,DE,47.7744,8.8228,445.0
GME00131434,GME00131434,NOTZINGEN,DE,48.6717,9.4633,325.0
GME00131446,GME00131446,PILSACH-LITZLOHE,DE,49.3542,11.5067,550.0
GME00131482,GME00131482,MARKT ERLBACH-MOSBACH,DE,49.5325,10.6431,362.0
GME00131506,GME00131506,LOHR/MAIN-HALSBACH,DE,50.0142,9.655,285.0
GME00131546,GME00131546,MAISACH-GALGEN,DE,48.2081,11.2044,530.0
GME00131554,GME00131554,SCHONUNGEN-MAINBERG,DE,50.0589,10.2983,304.0
GME00131626,GME00131626,HAGENBUCHACH,DE,49.5364,10.7717,384.0
GME00131686,GME00131686,BREITSOL,DE,49.9028,9.4292,585.0
GME00131770,GME00131770,ESCHBACH,DE,47.8867,7.6617,234.0
GME00131782,GME00131782,ELSENDORF-HORNECK,DE,48.7031,11.8506,425.0
GME00131818,GME00131818,SIEGSDORF-HOLL,DE,47.8356,12.6564,721.0
GME00131842,GME00131842,BRETTEN,DE,49.0264,8.7164,185.0
GME00131866,GME00131866,FREUDENBERG/MAIN-BOXTAL,DE,49.7644,9.4064,193.0
GME00131878,GME00131878,ALBSTADT-BADKAP,DE,48.2164,8.9792,759.0
GME00131890,GME00131890,BROMBACHTAL-KIRCH-BROMBACH,DE,49.7356,8.9567,290.0
GME00131926,GME00131926,ALBSTADT-ONSTMETTINGEN,DE,48.2775,9.0008,794.0
GME00131938,GME00131938,DONAUWORTH-OSTERWEILER,DE,48.7358,10.7428,434.0
GME00131986,GME00131986,HERMARINGEN-ALLEWIND,DE,48.6106,10.2692,468.0
GME00132010,GME00132010,PRACKENBACH-NEUHAUSEL,DE,49.1094,12.8244,588.0
GME00132070,GME00132070,FEUCHTWANGEN-HEILBRONN,DE,49.1631,10.3669,475.0
GME00132082,GME00132082,BRUCKEN,DE,49.6314,7.1156,390.0
GME00132094,GME00132094,WALDMUNCHEN,DE,49.3919,12.6853,499.0
GME00132166,GME00132166,WUNSIEDEL-SCHONBRUNN,DE,50.0317,11.9742,622.0
GME00132178,GME00132178,GOTTFRIEDING,DE,48.6606,12.5403,350.0
GME00132202,GME00132202,ALDERSBACH-KRIESTORF,DE,48.6167,13.0519,340.0
GME00132214,GME00132214,LEUTKIRCH-HERLAZHOFEN,DE,47.7964,10.0333,672.0
GME00132238,GME00132238,NEUHUTTEN/SPESSART,DE,50.0092,9.425,340.0
GME00132274,GME00132274,PIDING,DE,47.7731,12.9089,458.0
GME00132310,GME00132310,OBERHACHING-LAUFZORN,DE,48.0139,11.5539,604.0
GME00132334,GME00132334,KR. NECKAR-ODENWALD BUCHEN,DE,49.5192,9.3225,340.0
GME00132346,GME00132346,BUCHENBACH,DE,47.9631,7.9989,445.0
GME00132418,GME00132418,BUHLERTAL-OBERTAL,DE,48.6753,8.1806,478.0
GME00132454,GME00132454,SCHLUSSELFELD (KLARANLAGE),DE,49.7458,10.6444,290.0
GME00132526,GME00132526,PEMFLING-PITZLING,DE,49.2514,12.6056,389.0
GME00132550,GME00132550,CHIEMING,DE,47.8853,12.5417,551.0
GME00132610,GME00132610,CRAILSHEIM-ALEXANDERSREUT,DE,49.0992,10.0992,423.0
GME00132646,GME00132646,DARMSTADT,DE,49.8817,8.6775,162.0
